"tool_id","purpose","read_write","Revit category","inputs","outputs","side_effects","validation","status","source_file"
"add_prefix_suffix","Add prefix/suffix to parameter values. Preview with dryRun=true.","WRITE","Dynamic category/categories","parameterName:string; prefix?:string; suffix?:string; separator?:string=""""; categories?:array; scope?:enum=""whole_model""; skipEmpty?:boolean=true; filterValue?:string; dryRun?:boolean=true","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks; dryRun preview available","KEEP + route through policy/audit wrapper","server/src/tools/add_prefix_suffix.ts"
"add_shared_parameter","Add a shared parameter from the shared parameter file to categories.","WRITE","Dynamic category/categories","parameterName:schema; groupName:schema; categories:string; isInstance?:schema=true; parameterGroup?:schema","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/add_shared_parameter.ts"
"ai_element_filter","An intelligent Revit element querying tool designed specifically for AI assistants to retrieve detailed element information from Revit projects. This tool allows the AI to request elements matching specific criteria (such as category, type, visibility, or spatial location) and then perform further analysis on the returned data to answer complex user queries about Revit model elements. Example: When a user asks 'Find all walls taller than 5m in the project', the AI would: 1) Call this tool with parameters: {""filterCategory"": ""OST_Walls"", ""includeInstances"": true}, 2) Receive detailed information about all wall instances in the project, 3) Process the returned data to filter walls with height > 5000mm, 4) Present the filtered results to the user with relevant details. GUIDANCE: - Find all doors on Level 1: category=""Doors"", parameterFilters=[{name:""Level"", value:""Level 1""}] - Find walls by type: category=""Walls"", parameterFilters=[{name:""Type"", value:""Generic - 200mm""}] - Find rooms by department: category=""Rooms"", parameterFilters=[{name:""Department"", value:""Office""}] TIPS: - Most powerful query tool — supports multi-parameter filtering - Returns element IDs for use with other tools (modify, delete, set_parameters) - Use export_elements_data for tabular data extraction instead - Combine with operate_element to select/highlight filtered results","READ","Generic / input-selected","data?:object=false; compact?:schema=false","tool/rawTool response wrapping Revit command result or structured error","None expected","Zod input schema; command/plugin checks","KEEP","server/src/tools/ai_element_filter.ts"
"align_viewports","Align viewports across sheets by placement or model coordinates.","WRITE","Sheets / viewports","sourceViewportId:number; targetViewportIds:array; alignMode?:enum","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/align_viewports.ts"
"analyze_model_statistics","Analyze model complexity with element counts. Returns detailed statistics about the Revit model including total element counts, total types, total families, views, sheets, counts by category (with type/family breakdown), and level-by-level element distribution. Useful for model auditing, performance analysis, and understanding model composition. GUIDANCE: - Model overview: element counts by category, type, family, and level - Quality check: identify categories with unexpected element counts - Pre-audit: run before check_model_health for a quick complexity assessment TIPS: - Useful for understanding model scope before detailed operations - Compare counts across levels to check consistency - Large element counts may indicate modeling issues","READ","Generic / input-selected","includeDetailedTypes?:schema=true; compact?:schema=false","tool/rawTool response wrapping Revit command result or structured error","None expected","Zod input schema; command/plugin checks","KEEP","server/src/tools/analyze_model_statistics.ts"
"apply_view_template","Apply or remove a view template on one or more views.","WRITE","Views","action?:schema; viewIds?:number; templateId?:schema; templateName?:schema","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/apply_view_template.ts"
"audit_families","Comprehensive family audit: health score, unused families, in-place families, instance counts per family/type, category breakdown, and cleanup recommendations. GUIDANCE: - Full audit: call with no parameters for comprehensive family analysis - Filter by category: categoryFilter=""Doors"" to audit only specific category - Include unused: includeUnused=true (default) shows families with zero instances TIPS: - Health score factors: unused families, in-place families, CAD imports - Recommendations include specific cleanup actions - Use purge_unused to remove families flagged as unused - Category breakdown shows which areas need most attention","READ","Dynamic category/categories","includeUnused?:boolean; categoryFilter?:string","tool/rawTool response wrapping Revit command result or structured error","None expected","Zod input schema; command/plugin checks","KEEP","server/src/tools/audit_families.ts"
"batch_create_sheets","Create multiple sheets at once with title blocks and optional view placement. Each sheet can have its own number, name, title block, and views to place. GUIDANCE: - Create multiple sheets: provide array of {sheetNumber, sheetName, titleBlockName} - Auto-sequence: use a numbering pattern like A101, A102, A103 - With views: optionally specify viewIds to auto-place on each sheet TIPS: - Sheet numbers must be unique — check existing sheets first - Use get_available_family_types with ""Title Blocks"" to find title block names - Use place_viewport after creation to position views on sheets - Use align_viewports to align view positions across multiple sheets","WRITE","Sheets / viewports","sheets?:object; defaultTitleBlockName?:schema","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/batch_create_sheets.ts"
"batch_export","Export multiple views/sheets to PDF, DWG, DXF, DGN, or image formats.","READ","Generic / input-selected","format:schema; sheetIds?:number; viewIds?:number; exportPath?:schema; paperSize?:schema","tool/rawTool response wrapping Revit command result or structured error","No Revit mutation; may write an export file","Zod input schema; command/plugin checks","KEEP","server/src/tools/batch_export.ts"
"batch_modify_view_range","Batch-modify view range (cut plane, top, bottom) for plan views.","WRITE","Views","viewIds:array; topOffsetMm?:number; cutPlaneOffsetMm?:number; bottomOffsetMm?:number; viewDepthOffsetMm?:number","tool/rawTool response wrapping Revit command result or structured error","Mutates Revit model/view or creates an external file","Zod input schema; command/plugin checks","KEEP + route through policy/audit wrapper","server/src/tools/batch_modify_view_range.ts"
